Date,Open,High,Low,Close
Jan/04/1950,-,-,-,108.56
Jan/05/1950,-,-,-,105.54
Jan/06/1950,-,-,-,102.64
Jan/07/1950,-,-,-,102.95
Jan/09/1950,-,-,-,102.78
Jan/10/1950,-,-,-,101.36
Jan/11/1950,-,-,-,99.36
Jan/12/1950,-,-,-,97.48
Jan/13/1950,-,-,-,95.04
Jan/14/1950,-,-,-,96.89
Jan/16/1950,-,-,-,96.20
Jan/17/1950,-,-,-,95.27
Jan/18/1950,-,-,-,97.15
Jan/19/1950,-,-,-,98.90
Jan/20/1950,-,-,-,98.05
Jan/21/1950,-,-,-,98.25
Jan/23/1950,-,-,-,97.10
Jan/24/1950,-,-,-,97.12
Jan/25/1950,-,-,-,96.51
Jan/26/1950,-,-,-,95.45
Jan/27/1950,-,-,-,94.85
Jan/28/1950,-,-,-,94.82
Jan/30/1950,-,-,-,93.14
Jan/31/1950,-,-,-,92.54
Feb/01/1950,-,-,-,92.56
Feb/02/1950,-,-,-,95.96
Feb/03/1950,-,-,-,96.11
Feb/04/1950,-,-,-,97.45
Feb/06/1950,-,-,-,101.71
Feb/07/1950,-,-,-,105.06
Feb/08/1950,-,-,-,107.25
Feb/09/1950,-,-,-,107.01
Feb/10/1950,-,-,-,106.54
Feb/11/1950,-,-,-,107.16
Feb/13/1950,-,-,-,112.94
Feb/14/1950,-,-,-,113.40
Feb/15/1950,-,-,-,110.53
Feb/16/1950,-,-,-,109.60
Feb/17/1950,-,-,-,110.25
Feb/18/1950,-,-,-,111.21
Feb/20/1950,-,-,-,109.73
Feb/21/1950,-,-,-,108.38
Feb/22/1950,-,-,-,106.62
Feb/23/1950,-,-,-,106.83
Feb/24/1950,-,-,-,107.01
Feb/25/1950,-,-,-,107.09
Feb/27/1950,-,-,-,108.27
Feb/28/1950,-,-,-,107.44
Mar/01/1950,-,-,-,108.19
Mar/02/1950,-,-,-,108.15
Mar/03/1950,-,-,-,106.65
Mar/04/1950,-,-,-,105.52
Mar/06/1950,-,-,-,104.43
Mar/07/1950,-,-,-,102.83
Mar/08/1950,-,-,-,102.93
Mar/09/1950,-,-,-,101.71
Mar/10/1950,-,-,-,101.23
Mar/11/1950,-,-,-,102.16
Mar/13/1950,-,-,-,102.61
Mar/14/1950,-,-,-,102.21
Mar/15/1950,-,-,-,101.52
Mar/16/1950,-,-,-,101.07
Mar/17/1950,-,-,-,101.12
Mar/18/1950,-,-,-,101.40
Mar/20/1950,-,-,-,100.61
Mar/22/1950,-,-,-,99.84
Mar/23/1950,-,-,-,99.22
Mar/24/1950,-,-,-,99.02
Mar/25/1950,-,-,-,99.97
Mar/27/1950,-,-,-,99.90
Mar/28/1950,-,-,-,99.30
Mar/29/1950,-,-,-,98.51
Mar/30/1950,-,-,-,97.78
Mar/31/1950,-,-,-,97.61
Apr/01/1950,-,-,-,96.97
Apr/03/1950,-,-,-,94.86
Apr/04/1950,-,-,-,93.85
Apr/05/1950,-,-,-,93.95
Apr/06/1950,-,-,-,93.37
Apr/07/1950,-,-,-,92.39
Apr/08/1950,-,-,-,91.76
Apr/10/1950,-,-,-,90.97
Apr/11/1950,-,-,-,88.70
Apr/12/1950,-,-,-,91.69
Apr/13/1950,-,-,-,93.00
Apr/14/1950,-,-,-,95.52
Apr/15/1950,-,-,-,93.90
Apr/17/1950,-,-,-,93.04
Apr/18/1950,-,-,-,93.40
Apr/19/1950,-,-,-,93.23
Apr/20/1950,-,-,-,92.83
Apr/21/1950,-,-,-,92.56
Apr/22/1950,-,-,-,92.39
Apr/24/1950,-,-,-,92.59
Apr/25/1950,-,-,-,95.14
Apr/26/1950,-,-,-,96.96
Apr/27/1950,-,-,-,96.67
Apr/28/1950,-,-,-,99.31
May/01/1950,-,-,-,103.78
May/02/1950,-,-,-,103.01
May/04/1950,-,-,-,102.49
May/06/1950,-,-,-,101.38
May/08/1950,-,-,-,100.26
May/09/1950,-,-,-,98.72
May/10/1950,-,-,-,99.03
May/11/1950,-,-,-,98.55
May/12/1950,-,-,-,97.23
May/13/1950,-,-,-,97.31
May/15/1950,-,-,-,96.05
May/16/1950,-,-,-,95.16
May/17/1950,-,-,-,96.10
May/18/1950,-,-,-,96.02
May/19/1950,-,-,-,97.72
May/20/1950,-,-,-,98.47
May/22/1950,-,-,-,96.87
May/23/1950,-,-,-,95.78
May/24/1950,-,-,-,95.58
May/25/1950,-,-,-,94.87
May/26/1950,-,-,-,94.21
May/27/1950,-,-,-,94.34
May/29/1950,-,-,-,93.61
May/30/1950,-,-,-,93.97
May/31/1950,-,-,-,94.22
Jun/01/1950,-,-,-,94.22
Jun/02/1950,-,-,-,93.94
Jun/03/1950,-,-,-,94.32
Jun/05/1950,-,-,-,94.68
Jun/06/1950,-,-,-,94.12
Jun/07/1950,-,-,-,93.39
Jun/08/1950,-,-,-,92.74
Jun/09/1950,-,-,-,92.28
Jun/10/1950,-,-,-,92.26
Jun/12/1950,-,-,-,91.47
Jun/13/1950,-,-,-,90.22
Jun/14/1950,-,-,-,89.08
Jun/15/1950,-,-,-,89.22
Jun/16/1950,-,-,-,89.86
Jun/17/1950,-,-,-,89.72
Jun/19/1950,-,-,-,88.90
Jun/20/1950,-,-,-,88.90
Jun/21/1950,-,-,-,89.89
Jun/22/1950,-,-,-,90.03
Jun/23/1950,-,-,-,90.59
Jun/24/1950,-,-,-,91.94
Jun/26/1950,-,-,-,92.75
Jun/27/1950,-,-,-,90.84
Jun/28/1950,-,-,-,90.16
Jun/29/1950,-,-,-,88.95
Jun/30/1950,-,-,-,86.17
Jul/01/1950,-,-,-,86.19
Jul/03/1950,-,-,-,85.65
Jul/04/1950,-,-,-,85.84
Jul/05/1950,-,-,-,85.41
Jul/06/1950,-,-,-,85.25
Jul/07/1950,-,-,-,85.60
Jul/08/1950,-,-,-,85.65
Jul/10/1950,-,-,-,86.04
Jul/11/1950,-,-,-,89.26
Jul/12/1950,-,-,-,93.54
Jul/13/1950,-,-,-,94.80
Jul/14/1950,-,-,-,98.40
Jul/15/1950,-,-,-,103.82
Jul/17/1950,-,-,-,109.34
Jul/18/1950,-,-,-,104.86
Jul/19/1950,-,-,-,103.21
Jul/20/1950,-,-,-,103.14
Jul/21/1950,-,-,-,101.58
Jul/22/1950,-,-,-,101.90
Jul/24/1950,-,-,-,103.16
Jul/25/1950,-,-,-,103.07
Jul/26/1950,-,-,-,102.23
Jul/27/1950,-,-,-,100.88
Jul/28/1950,-,-,-,100.24
Jul/29/1950,-,-,-,99.87
Jul/31/1950,-,-,-,97.59
Aug/01/1950,-,-,-,99.51
Aug/02/1950,-,-,-,99.11
Aug/03/1950,-,-,-,99.10
Aug/04/1950,-,-,-,100.52
Aug/05/1950,-,-,-,101.26
Aug/07/1950,-,-,-,103.16
Aug/08/1950,-,-,-,103.49
Aug/09/1950,-,-,-,103.04
Aug/10/1950,-,-,-,103.78
Aug/11/1950,-,-,-,105.26
Aug/12/1950,-,-,-,105.31
Aug/14/1950,-,-,-,105.33
Aug/15/1950,-,-,-,106.24
Aug/16/1950,-,-,-,108.02
Aug/17/1950,-,-,-,110.15
Aug/18/1950,-,-,-,112.58
Aug/19/1950,-,-,-,112.77
Aug/21/1950,-,-,-,114.99
Aug/22/1950,-,-,-,114.82
Aug/23/1950,-,-,-,114.36
Aug/24/1950,-,-,-,112.44
Aug/25/1950,-,-,-,111.39
Aug/26/1950,-,-,-,112.11
Aug/28/1950,-,-,-,112.06
Aug/29/1950,-,-,-,113.24
Aug/30/1950,-,-,-,114.59
Aug/31/1950,-,-,-,114.55
Sep/01/1950,-,-,-,113.46
Sep/02/1950,-,-,-,112.98
Sep/04/1950,-,-,-,111.25
Sep/05/1950,-,-,-,111.48
Sep/06/1950,-,-,-,112.06
Sep/07/1950,-,-,-,110.82
Sep/08/1950,-,-,-,108.39
Sep/09/1950,-,-,-,109.43
Sep/11/1950,-,-,-,108.26
Sep/12/1950,-,-,-,108.23
Sep/13/1950,-,-,-,108.52
Sep/14/1950,-,-,-,109.48
Sep/15/1950,-,-,-,110.35
Sep/16/1950,-,-,-,110.98
Sep/18/1950,-,-,-,109.28
Sep/19/1950,-,-,-,108.46
Sep/20/1950,-,-,-,107.24
Sep/21/1950,-,-,-,108.22
Sep/22/1950,-,-,-,107.22
Sep/25/1950,-,-,-,104.95
Sep/26/1950,-,-,-,105.52
Sep/27/1950,-,-,-,105.41
Sep/28/1950,-,-,-,103.81
Sep/29/1950,-,-,-,103.58
Sep/30/1950,-,-,-,104.98
Oct/02/1950,-,-,-,103.52
Oct/03/1950,-,-,-,103.65
Oct/04/1950,-,-,-,105.44
Oct/05/1950,-,-,-,107.28
Oct/06/1950,-,-,-,106.54
Oct/07/1950,-,-,-,107.12
Oct/09/1950,-,-,-,105.95
Oct/10/1950,-,-,-,106.21
Oct/11/1950,-,-,-,106.78
Oct/12/1950,-,-,-,105.99
Oct/13/1950,-,-,-,106.50
Oct/14/1950,-,-,-,107.25
Oct/16/1950,-,-,-,107.23
Oct/17/1950,-,-,-,106.72
Oct/18/1950,-,-,-,107.25
Oct/19/1950,-,-,-,107.44
Oct/20/1950,-,-,-,106.78
Oct/21/1950,-,-,-,106.85
Oct/23/1950,-,-,-,106.35
Oct/24/1950,-,-,-,105.97
Oct/25/1950,-,-,-,106.15
Oct/26/1950,-,-,-,106.33
Oct/27/1950,-,-,-,105.88
Oct/28/1950,-,-,-,105.45
Oct/30/1950,-,-,-,105.39
Oct/31/1950,-,-,-,106.16
Nov/01/1950,-,-,-,108.55
Nov/02/1950,-,-,-,111.02
Nov/04/1950,-,-,-,112.72
Nov/06/1950,-,-,-,111.21
Nov/07/1950,-,-,-,110.55
Nov/08/1950,-,-,-,109.49
Nov/09/1950,-,-,-,109.49
Nov/10/1950,-,-,-,110.14
Nov/11/1950,-,-,-,110.18
Nov/13/1950,-,-,-,110.50
Nov/14/1950,-,-,-,111.26
Nov/15/1950,-,-,-,110.64
Nov/16/1950,-,-,-,111.08
Nov/17/1950,-,-,-,111.42
Nov/18/1950,-,-,-,111.22
Nov/20/1950,-,-,-,110.31
Nov/21/1950,-,-,-,109.96
Nov/22/1950,-,-,-,109.91
Nov/24/1950,-,-,-,109.97
Nov/25/1950,-,-,-,111.18
Nov/27/1950,-,-,-,112.93
