Date,Open,High,Low,Close
Mar/01/2024,"39,254.69","39,990.23","39,224.64","39,910.82"
Mar/04/2024,"40,201.76","40,314.64","40,001.55","40,109.23"
Mar/05/2024,"39,881.73","40,226.99","39,840.34","40,097.63"
Mar/06/2024,"39,792.37","40,147.77","39,769.04","40,090.78"
Mar/07/2024,"40,331.06","40,472.11","39,518.40","39,598.71"
Mar/08/2024,"39,809.56","39,989.33","39,551.60","39,688.94"
Mar/11/2024,"39,232.14","39,241.28","38,496.66","38,820.49"
Mar/12/2024,"38,470.39","38,841.80","38,271.38","38,797.51"
Mar/13/2024,"39,059.95","39,147.80","38,452.57","38,695.97"
Mar/14/2024,"38,591.73","38,840.33","38,400.17","38,807.38"
Mar/15/2024,"38,548.16","38,808.68","38,519.94","38,707.64"
Mar/18/2024,"38,960.99","39,769.11","38,935.47","39,740.44"
